Timestamp,Therapist joint angle 0,Therapist joint angle 1,Therapist joint angle 2,Patient joint angle 0,Patient joint angle 1,Patient joint angle 2,Therapist position x,Therapist position y,Therapist position z,Patient position x,Patient position y,Patient position z,Virtual position x, Patient Constant Force, Recovery Factor, Assistance Level
6.38217E+17,-34.79806,26.79142,16.36643,-29.02587,21.06376,22.43672,-89.37545,-44.48986,-39.7463,-85.07306,-51.97874,-15.03745,0.001067912,0.06806865,0.7919569,0.06806865
6.38217E+17,-34.7745,27.04858,16.52986,-29.02587,21.06376,22.43672,-89.37607,-43.8485,-39.6325,-85.07306,-51.97874,-15.03745,0.001067912,0.06823545,0.7921153,0.06823545
6.38217E+17,-34.7745,27.51615,16.83338,-28.93163,21.06376,22.43672,-89.47752,-42.67857,-39.4864,-84.82078,-51.97874,-14.89773,0.001067912,0.06928096,0.7924007,0.06928096
6.38217E+17,-34.68026,28.28763,17.18359,-28.76671,21.06376,22.46007,-89.23084,-40.85336,-39.3894,-84.40289,-51.95799,-14.61019,0.001067912,0.07149569,0.7926124,0.07149569
6.38217E+17,-34.53891,28.91884,17.44041,-28.48399,21.06376,22.48342,-88.83718,-39.38571,-39.27893,-83.66721,-51.93722,-14.15145,0.001067912,0.07399178,0.7927383,0.07399178
6.38217E+17,-34.49178,29.22275,17.58049,-28.27195,21.1339,22.60015,-88.71245,-38.66939,-39.23292,-83.187,-51.68078,-13.67363,0.001067912,0.07566194,0.7927634,0.07566194
6.38217E+17,-34.35042,29.99424,17.90735,-27.91855,21.60146,22.78693,-88.3019,-36.87647,-39.14866,-82.23352,-50.49967,-13.15944,0.001067912,0.07762007,0.7927662,0.07762007
6.38217E+17,-34.25618,30.64882,18.11748,-27.89499,22.18591,23.04375,-87.91811,-35.41017,-39.25491,-82.18997,-49.00478,-13.08735,0.001067912,0.07782218,0.7927465,0.07782218
6.38217E+17,-34.20906,30.92937,18.16417,-27.91855,22.74699,23.25388,-87.68208,-34.81544,-39.37363,-82.23071,-47.6058,-13.16476,0.001067912,0.07685889,0.7927524,0.07685889
6.38217E+17,-34.0677,31.46706,18.21087,-27.94211,23.89252,23.53404,-87.05831,-33.71106,-39.60916,-82.0804,-44.89862,-13.60225,0.001067912,0.07444359,0.7928198,0.07444359
6.38217E+17,-33.85566,32.21516,18.23421,-27.94211,25.15495,24.02434,-86.0983,-32.21497,-40.0078,-81.99827,-41.76546,-13.75711,0.001067912,0.07307668,0.7929351,0.07307668
6.38217E+17,-33.50227,33.08016,18.3276,-27.94211,26.53426,24.65471,-84.8195,-30.4517,-40.21271,-81.96889,-38.27174,-13.81247,0.001067912,0.07159506,0.7930872,0.07159506
6.38217E+17,-33.31378,33.61786,18.44434,-27.94211,27.21223,24.98158,-84.16129,-29.32063,-40.29384,-81.95824,-36.54494,-13.83258,0.001067912,0.07114307,0.793174,0.07114307
6.38217E+17,-32.96038,34.76339,18.79455,-27.94211,28.24087,25.5886,-82.97498,-26.8551,-40.38614,-82.0349,-33.82237,-13.68804,0.001067912,0.07131921,0.7933394,0.07131921
6.38217E+17,-32.55987,36.00243,19.19145,-27.94211,29.43316,26.26567,-81.64988,-24.20339,-40.48039,-82.07183,-30.7026,-13.61841,0.001067912,0.07134777,0.7934961,0.07134777
6.38217E+17,-32.08867,37.07783,19.54166,-27.94211,30.6722,26.96609,-80.21241,-21.92222,-40.42426,-82.07804,-27.47626,-13.6067,0.001067912,0.07080071,0.7936601,0.07080071
